Main.Group,Family,Alt.Family,Genus,Form,Primary.Obs,Secondary.Obs,References.For.Family,Notes.For.Family
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Euodia,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Flindersia,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Glycosmis,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Halfordia,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Phebalium,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Eriostemon,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Philotheca,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Santalaceae,Hemiparasites,Exocarpus,trees,VAM,NM?,"Koske et al. 1992, Lamont 1982.",Santalum VAM or NM in Hawaii - Koske et al. 1992. Parasitic plants with root haustoria - Lamont 1982.
ANGIOSPERMS - DICOTYLEDONS,Santalaceae,Hemiparasites,Leptomeria,trees,VAM,NM?,"Koske et al. 1992, Lamont 1982.",Santalum VAM or NM in Hawaii - Koske et al. 1992. Parasitic plants with root haustoria - Lamont 1982.
ANGIOSPERMS - DICOTYLEDONS,Santalaceae,Hemiparasites,Santalum,trees,VAM,NM?,"Koske et al. 1992, Lamont 1982.",Santalum VAM or NM in Hawaii - Koske et al. 1992. Parasitic plants with root haustoria - Lamont 1982.
ANGIOSPERMS - DICOTYLEDONS,Sapindaceae,,Dodonaea,trees,VAM,(NM),"Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004, Gehring & Connell 2006","VAM - Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004. NM or VAM - Gehring & Connell 2006"
ANGIOSPERMS - DICOTYLEDONS,Sapindaceae,,Ellatostachys,trees,VAM,(NM),"Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004, Gehring & Connell 2006","VAM - Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004. NM or VAM - Gehring & Connell 2006"
ANGIOSPERMS - DICOTYLEDONS,Sapindaceae,,Castanospora,trees,VAM,(NM),"Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004, Gehring & Connell 2006","VAM - Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004. NM or VAM - Gehring & Connell 2006"
ANGIOSPERMS - DICOTYLEDONS,Sapindaceae,,Ganophyllum,trees,VAM,(NM),"Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004, Gehring & Connell 2006","VAM - Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004. NM or VAM - Gehring & Connell 2006"
ANGIOSPERMS - DICOTYLEDONS,Sapindaceae,,Mischocarpus,trees,VAM,(NM),"Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004, Gehring & Connell 2006","VAM - Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004. NM or VAM - Gehring & Connell 2006"
ANGIOSPERMS - DICOTYLEDONS,Sapindaceae,,Sarcopteryx,trees,VAM,(NM),"Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004, Gehring & Connell 2006","VAM - Koske et al. 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson et al. 2004. NM or VAM - Gehring & Connell 2006"
ANGIOSPERMS - DICOTYLEDONS,Sapotaceae,,Castanospermum,trees,VAM,,"Brundrett et al. 1995, Abu-Zeyad et al. 1999, Reddell et al. 1996, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Sapotaceae,,Chrysophyllum,trees,VAM,,"Brundrett et al. 1995, Abu-Zeyad et al. 1999, Reddell et al. 1996, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Sapotaceae,,Planchonella,trees,VAM,,"Brundrett et al. 1995, Abu-Zeyad et al. 1999, Reddell et al. 1996, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Scrophulariaceae,Hemiparasites,Buchnera,herbs,NM,,"Brundrett et al. 1995, Brundrett unpublished.",Root hemi-parasites NM
ANGIOSPERMS - DICOTYLEDONS,Scrophulariaceae,Hemiparasites,Parentucellia,herbs,NM,,"Brundrett et al. 1995, Brundrett unpublished.",Root hemi-parasites NM
ANGIOSPERMS - DICOTYLEDONS,Scrophulariaceae,Hemiparasites,Striga,herbs,NM,,"Brundrett et al. 1995, Brundrett unpublished.",Root hemi-parasites NM
ANGIOSPERMS - DICOTYLEDONS,Scrophulariaceae,,Euphrasia,herbs,VAM,,"Clayton & Bagyaraj 1984, Johnson & Ryan 2000.",Aquatic Glossostigma spp.-Clayton & Bagyaraj 1984. Euphrasia - Johnson & Ryan 2000.
ANGIOSPERMS - DICOTYLEDONS,Scrophulariaceae,,Glossostigma,herbs,VAM,,"Clayton & Bagyaraj 1984, Johnson & Ryan 2000.",Aquatic Glossostigma spp.-Clayton & Bagyaraj 1984. Euphrasia - Johnson & Ryan 2000.
ANGIOSPERMS - DICOTYLEDONS,Scrophulariaceae,,Limosella,herbs,VAM,,"Clayton & Bagyaraj 1984, Johnson & Ryan 2000.",Aquatic Glossostigma spp.-Clayton & Bagyaraj 1984. Euphrasia - Johnson & Ryan 2000.
ANGIOSPERMS - DICOTYLEDONS,Solanaceae,,Physalis,herbs,VAM,,"Reddell & Milnes 1992, O'Connor et al. 2001",
ANGIOSPERMS - DICOTYLEDONS,Solanaceae,,Solanum,herbs,VAM,,"Reddell & Milnes 1992, O'Connor et al. 2001",
ANGIOSPERMS - DICOTYLEDONS,Solanaceae,,Nicotiana,herbs,VAM,,"Reddell & Milnes 1992, O'Connor et al. 2001",
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Argyrodendron,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Brachychiton,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Franciscodendron,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Lasiopetalum,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Melochia,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Thomasia,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Sterculiaceae,,Waltheria,"shrubs, trees",VAM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006, Warcup 1980.","Brundrett & Abbott 1991 (beaded roots), Reddell & Milnes 1992, Brundrett et al. 1995, Gehring & Connell 2006. Lasiopetalum, Thomasia ECM-like association - Warcup 1980."
ANGIOSPERMS - DICOTYLEDONS,Stylidiaceae,,Stylidium,herbs,VAM,,"Warcup 1980, Kope & Warcup 1986, Brundrett & Abbott 1991, Warcup 1980, Kope & Warcup 1986.","VAM in very fine lateral roots - Warcup 1980, Kope & Warcup 1986, Brundrett & Abbott 1991. ECM-like association also without Hartig net - Warcup 1980, Kope & Warcup 1986."
ANGIOSPERMS - DICOTYLEDONS,Tiliaceae,,Triumfetta,shrub,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - DICOTYLEDONS,Thymelaeaceae,,Pimelea,shrubs,VAM,,"McGee 1986, Sward 1987, Bellgard 1991, Brundrett & Abbott 1991, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Thymelaeaceae,,Thecanthes,shrubs,VAM,,"McGee 1986, Sward 1987, Bellgard 1991, Brundrett & Abbott 1991, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Ulmaceae,,Celtis,tree,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - DICOTYLEDONS,Verbenaceae,,Clerodendrum,"shrub, tree, herb",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Verbenaceae,,Gmelina,"shrub, tree, herb",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Verbenaceae,,Pityrodia,"shrub, tree, herb",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Violaceae,,Hybanthus,herb,VAM,,"McGee 1986, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Vitaceae,,Ampelocissus,climbers,VAM,,"Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - DICOTYLEDONS,Vitaceae,,Cayratia,climbers,VAM,,"Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - DICOTYLEDONS,Vitaceae,,Cissus,climbers,VAM,,"Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - DICOTYLEDONS,Zygophyllaceae,,Tribulus,"herbs, shrub",NM,,"Peterson et al. 1985, Koske et al. 1992, O'Connor et al. 2001",
ANGIOSPERMS - DICOTYLEDONS,Zygophyllaceae,,Zygophyllum,"herbs, shrub",NM,,"Peterson et al. 1985, Koske et al. 1992, O'Connor et al. 2001",
ANGIOSPERMS - MONOCOTYLEDONS,Amaryllidaceae,,Crinum,herb,VAM,,Brundrett & Abbott 1991,
ANGIOSPERMS - MONOCOTYLEDONS,Araceae,,Amorphophallus,herb,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - MONOCOTYLEDONS,Araceae,,Epipremnum,climber,NM,,Brundrett et al. 1995,(epiphyte) 
ANGIOSPERMS - MONOCOTYLEDONS,Arecaceae,,Calamus,"trees, climbers",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - MONOCOTYLEDONS,Arecaceae,,Carpenteria,"trees, climbers",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - MONOCOTYLEDONS,Arecaceae,,Livistona,"trees, climbers",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - MONOCOTYLEDONS,Arecaceae,,Normanbya,"trees, climbers",VAM,,"Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996",
ANGIOSPERMS - MONOCOTYLEDONS,Asphodelaceae,,Bulbine,herbs,VAM,,"McGee 1986, O'Connor et al. 2001",
ANGIOSPERMS - MONOCOTYLEDONS,Asteliaceae,,Astelia,herb,VAM,,Johnson 1977,
ANGIOSPERMS - MONOCOTYLEDONS,Burmanniaceae,,Thismia,herb,MHVAM,VAM,McLennan 1958.,hyphal coils in saprophytic plant without chlorophyll
ANGIOSPERMS - MONOCOTYLEDONS,Centrolepidaceae,,Centrolepis,herb,NM,,Sward 1987,
ANGIOSPERMS - MONOCOTYLEDONS,Colchicaceae,,Burchardia,herbs,VAM,,Brundrett & Abbott 1991,
ANGIOSPERMS - MONOCOTYLEDONS,Colchicaceae,,Wurmbea,herbs,VAM,,Brundrett & Abbott 1991,
ANGIOSPERMS - MONOCOTYLEDONS,Commelinaceae,,Cartonema,herbs,NM,(VAM),"Logan et al. 1989, Brundrett et al. 1995.","NM - Logan et al. 1989, Brundrett et al. 1995."
ANGIOSPERMS - MONOCOTYLEDONS,Commelinaceae,,Commelina,herbs,NM,(VAM),"Logan et al. 1989, Brundrett et al. 1995.","NM - Logan et al. 1989, Brundrett et al. 1995."
ANGIOSPERMS - MONOCOTYLEDONS,Commelinaceae,,Murdannia,herbs,NM,(VAM),"Logan et al. 1989, Brundrett et al. 1995.","NM - Logan et al. 1989, Brundrett et al. 1995."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Arthrostylis,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Bulbostylis,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Carex,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Cyperus,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Eleocharis,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Fimbristylis,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Rhynchospora,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Cyperaceae,,Scleria,sedges,NM,,"Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Pate & Dixon 1996.","NM only - Logan et al. 1989, Bellgard 1991, Reddell & Milnes 1992, Brundrett et al. 1995. Sand binding roots - Pate & Dixon 1996."
ANGIOSPERMS - MONOCOTYLEDONS,Dauciform,(Sand Binding Roots),Caustis,sedges,NM,(VAM),"Lamont 1982, Meney et al. 1993, Koske et al. 1992, Perrier et al. 2006. ","VAM present in early winter only - Lamont 1982, Meney et al. 1993, Gahnia VAM in Hawaii - Koske et al. 1992. Lepidosperma VAM in New Caledonia - Perrier et al. 2006. Endophytic associations? - see NM plants section."
ANGIOSPERMS - MONOCOTYLEDONS,Dauciform,(Sand Binding Roots),Isolepis,sedges,NM,(VAM),"Lamont 1982, Meney et al. 1993, Koske et al. 1992, Perrier et al. 2006. ","VAM present in early winter only - Lamont 1982, Meney et al. 1993, Gahnia VAM in Hawaii - Koske et al. 1992. Lepidosperma VAM in New Caledonia - Perrier et al. 2006. Endophytic associations? - see NM plants section."
ANGIOSPERMS - MONOCOTYLEDONS,Dauciform,(Sand Binding Roots),Gahnia,sedges,NM,(VAM),"Lamont 1982, Meney et al. 1993, Koske et al. 1992, Perrier et al. 2006. ","VAM present in early winter only - Lamont 1982, Meney et al. 1993, Gahnia VAM in Hawaii - Koske et al. 1992. Lepidosperma VAM in New Caledonia - Perrier et al. 2006. Endophytic associations? - see NM plants section."
ANGIOSPERMS - MONOCOTYLEDONS,Dauciform,(Sand Binding Roots),Lepidosperma,sedges,NM,(VAM),"Lamont 1982, Meney et al. 1993, Koske et al. 1992, Perrier et al. 2006. ","VAM present in early winter only - Lamont 1982, Meney et al. 1993, Gahnia VAM in Hawaii - Koske et al. 1992. Lepidosperma VAM in New Caledonia - Perrier et al. 2006. Endophytic associations? - see NM plants section."
ANGIOSPERMS - MONOCOTYLEDONS,Dauciform,(Sand Binding Roots),Tetraria,sedges,NM,(VAM),"Lamont 1982, Meney et al. 1993, Koske et al. 1992, Perrier et al. 2006. ","VAM present in early winter only - Lamont 1982, Meney et al. 1993, Gahnia VAM in Hawaii - Koske et al. 1992. Lepidosperma VAM in New Caledonia - Perrier et al. 2006. Endophytic associations? - see NM plants section."
ANGIOSPERMS - MONOCOTYLEDONS,Dasypogonaceae,,Kingia,shrub,NM,,Brundrett & Abbott 1991,NM with long root hairs 
ANGIOSPERMS - MONOCOTYLEDONS,Dioscoreaceae,,Dioscorea,vine,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - MONOCOTYLEDONS,Eriocaulaceae,,Eriocaulon,herb,VAM,NM,"Khan & Belik 1995, Brundrett et al. 1995, Ragupathy & Mahadevan 1993.","Aquatic plant. VAM - Khan & Belik 1995, Brundrett et al. 1995. NM - Ragupathy & Mahadevan 1993."
ANGIOSPERMS - MONOCOTYLEDONS,Flagellariaceae,,Flagellaria,vine,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - MONOCOTYLEDONS,Haemodoraceae,Sand Binding Roots,Anigozanthos,herbs,NM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Pate & Dixon 1996",Sand binding roots with very long root hairs - Pate & Dixon 1996.
ANGIOSPERMS - MONOCOTYLEDONS,Haemodoraceae,Sand Binding Roots,Conostylis,herbs,NM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Pate & Dixon 1996",Sand binding roots with very long root hairs - Pate & Dixon 1996.
ANGIOSPERMS - MONOCOTYLEDONS,Haemodoraceae,Sand Binding Roots,Haemodorum,herbs,NM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Pate & Dixon 1996",Sand binding roots with very long root hairs - Pate & Dixon 1996.
ANGIOSPERMS - MONOCOTYLEDONS,Hemerocallidaceae,,Agrostocrinum,herbs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991, Koske et al. 1992",Dianella VAM in Hawaii - Koske et al. 1992
ANGIOSPERMS - MONOCOTYLEDONS,Hemerocallidaceae,,Dianella,herbs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991, Koske et al. 1992",Dianella VAM in Hawaii - Koske et al. 1992
ANGIOSPERMS - MONOCOTYLEDONS,Hemerocallidaceae,,Tricoryne,herbs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991, Koske et al. 1992",Dianella VAM in Hawaii - Koske et al. 1992
ANGIOSPERMS - MONOCOTYLEDONS,Juncaceae,,Juncus,rushes,NM,(VAM),"Sward 1987, Johnston & Ryan 2000",Family of typically NM plants Nm- Sward 1987. Alpine Luzula sp. 0-61% VAM - Johnston & Ryan 2000. Some have root clusters.
ANGIOSPERMS - MONOCOTYLEDONS,Juncaceae,,Luzula,rushes,NM,(VAM),"Sward 1987, Johnston & Ryan 2000",Family of typically NM plants Nm- Sward 1987. Alpine Luzula sp. 0-61% VAM - Johnston & Ryan 2000. Some have root clusters.
ANGIOSPERMS - MONOCOTYLEDONS,Juncaginaceae,,Triglochin,herbs,NM,,"Belik & Khan 1993, Fontenla et al. 2001 , Hildebrandt et al. 2001.",Family of typically NM plants. 
ANGIOSPERMS - MONOCOTYLEDONS,Iridaceae,,Patersonia,herbs,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995",
ANGIOSPERMS - MONOCOTYLEDONS,Laxmaniaceae,,Chamaescilla,herbs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991, Brundrett et al. 1995.",
ANGIOSPERMS - MONOCOTYLEDONS,Laxmaniaceae,,Laxmannia,herbs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991, Brundrett et al. 1995.",
ANGIOSPERMS - MONOCOTYLEDONS,Laxmaniaceae,,Sowerbaea,herbs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991, Brundrett et al. 1995.",
ANGIOSPERMS - MONOCOTYLEDONS,Laxmaniaceae,,Lomandra,herbs,NM,,"McGee 1986, Bellgard 1991, Logan et al. 1989.","NM - McGee 1986, Bellgard 1991. VAM - Logan et al. 1989."
ANGIOSPERMS - MONOCOTYLEDONS,Laxmaniaceae,,Thysanotus,herbs,Other,,"McGee 1988, Brundrett & Abbott 1991.",Unique sub-epidermal association
ANGIOSPERMS - MONOCOTYLEDONS,Najadaceae,(Hydrocharitaceae),Najas,aquatic herb,NM,(VAM),"Brundrett et al. 1995, Khan & Belik 1995",Aquatic plants. Brundrett et al. 1995. VAM also - Khan & Belik 1995
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Acianthus,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Caladenia,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Calochilus,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Corybas,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Cryptostylis,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Dendrobium,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Diuris,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Drakaea,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Elythranthera,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Epiblema,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Eriochilus,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Geodorum,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
