State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Cheilanthes distans (R.Br.) Mett.,Cheilanthes distans,native,Cheilanthes distans (R.Br.) Mett.,Cheilanthes distans,native,(R.Br.) Mett.,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes lasiophylla Pic.Serm.,Cheilanthes lasiophylla,native,Cheilanthes lasiophylla Pic.Serm.,Cheilanthes lasiophylla,native,Pic.Serm.,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes nitida (R.Br.) P.S.Green,Cheilanthes nitida,native,Cheilanthes nitida (R.Br.) P.S.Green,Cheilanthes nitida,native,(R.Br.) P.S.Green,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes nudiuscula (R.Br.) T.Moore,Cheilanthes nudiuscula,native,Cheilanthes nudiuscula (R.Br.) T.Moore,Cheilanthes nudiuscula,native,(R.Br.) T.Moore,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes praetermissa D.L.Jones,Cheilanthes praetermissa,native,Cheilanthes praetermissa D.L.Jones,Cheilanthes praetermissa,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes prenticei Luerss.,Cheilanthes prenticei,native,Cheilanthes prenticei Luerss.,Cheilanthes prenticei,native,Luerss.,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes pumilio (R.Br.) F.Muell.,Cheilanthes pumilio,native,Cheilanthes pumilio (R.Br.) F.Muell.,Cheilanthes pumilio,native,(R.Br.) F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes sieberi Kunze,Cheilanthes sieberi,native,Cheilanthes sieberi Kunze,Cheilanthes sieberi,native,Kunze,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes sieberi subsp. pseudovellea H.M.Quirk & T.C.Chambers,Cheilanthes sieberi subsp. pseudovellea,native,Cheilanthes sieberi subsp. pseudovellea H.M.Quirk & T.C.Chambers,Cheilanthes sieberi subsp. pseudovellea,native,H.M.Quirk & T.C.Chambers,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes sieberi Kunze subsp. sieberi,Cheilanthes sieberi subsp. sieberi,native,Cheilanthes sieberi Kunze subsp. sieberi,Cheilanthes sieberi subsp. sieberi,native,NA,accepted,Similar for the state flora and the APC,native,native,native
