State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Ranunculus acris subsp. acris NA,Ranunculus acris subsp. acris,naturalised,Ranunculus acris L. subsp. acris,Ranunculus acris subsp. acris,naturalised,NA,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus aff. inundatus (South-west) NA,Ranunculus aff. inundatus (South-west),naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,naturalised,introduced,established
Ranunculus amphitrichus Colenso,Ranunculus amphitrichus,native,Ranunculus amphitrichus Colenso,Ranunculus amphitrichus,native,Colenso,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus amplus N.G.Walsh & B.G.Briggs,Ranunculus amplus,native,Ranunculus amplus N.G.Walsh & B.G.Briggs,Ranunculus amplus,native,N.G.Walsh & B.G.Briggs,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus collinus R.Br. ex DC.,Ranunculus collinus,native,Ranunculus collinus R.Br. ex DC.,Ranunculus collinus,native,R.Br. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus diminutus B.G.Briggs,Ranunculus diminutus,native,Ranunculus diminutus B.G.Briggs,Ranunculus diminutus,native,B.G.Briggs,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus eichlerianus B.G.Briggs,Ranunculus eichlerianus,native,Ranunculus eichlerianus B.G.Briggs,Ranunculus eichlerianus,native,B.G.Briggs,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus flammula L.,Ranunculus flammula,introduced,Ranunculus flammula L.,Ranunculus flammula,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,NA
Ranunculus flammula subsp. flammula NA,Ranunculus flammula subsp. flammula,naturalised,Ranunculus flammula L. subsp. flammula,Ranunculus flammula subsp. flammula,naturalised,NA,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus glabrifolius Hook.,Ranunculus glabrifolius,native,Ranunculus glabrifolius Hook.,Ranunculus glabrifolius,native,Hook.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus graniticola Melville,Ranunculus graniticola,native,Ranunculus graniticola Melville,Ranunculus graniticola,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus gunnianus Hook.,Ranunculus gunnianus,native,Ranunculus gunnianus Hook.,Ranunculus gunnianus,native,Hook.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus inundatus R.Br. ex DC.,Ranunculus inundatus,native,Ranunculus inundatus R.Br. ex DC.,Ranunculus inundatus,native,R.Br. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus lappaceus Sm.,Ranunculus lappaceus,native,Ranunculus lappaceus Sm.,Ranunculus lappaceus,native,Sm.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus millanii F.Muell.,Ranunculus millanii,native,Ranunculus millanii F.Muell.,Ranunculus millanii,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus muelleri Benth.,Ranunculus muelleri,native,Ranunculus muelleri Benth.,Ranunculus muelleri,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus muelleri var. muelleri NA,Ranunculus muelleri var. muelleri,naturalised,Ranunculus muelleri Benth.,Ranunculus muelleri,native,Benth.,nomenclatural synonym,"According to the state flora is naturalised, while according to the APC is native",naturalised,introduced,established
Ranunculus muricatus L.,Ranunculus muricatus,naturalised,Ranunculus muricatus L.,Ranunculus muricatus,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus ophioglossifolius Vill.,Ranunculus ophioglossifolius,naturalised,Ranunculus ophioglossifolius Vill.,Ranunculus ophioglossifolius,naturalised,Vill.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus pachycarpus B.G.Briggs,Ranunculus pachycarpus,native,Ranunculus pachycarpus B.G.Briggs,Ranunculus pachycarpus,native,B.G.Briggs,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus papulentus Melville,Ranunculus papulentus,native,Ranunculus papulentus Melville,Ranunculus papulentus,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus parviflorus L.,Ranunculus parviflorus,naturalised,Ranunculus parviflorus L.,Ranunculus parviflorus,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus pentandrus J.M.Black,Ranunculus pentandrus,native,Ranunculus pentandrus J.M.Black,Ranunculus pentandrus,native,J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus pentandrus var. platycarpus (F.Muell.) H.Eichler,Ranunculus pentandrus var. platycarpus,native,Ranunculus pentandrus var. platycarpus (F.Muell.) H.Eichler,Ranunculus pentandrus var. platycarpus,native,(F.Muell.) H.Eichler,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus pimpinellifolius Hook.,Ranunculus pimpinellifolius,native,Ranunculus pimpinellifolius Hook.,Ranunculus pimpinellifolius,native,Hook.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus plebeius R.Br. ex DC.,Ranunculus plebeius,native,Ranunculus plebeius R.Br. ex DC.,Ranunculus plebeius,native,R.Br. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus pumilio R.Br. ex DC.,Ranunculus pumilio,native,Ranunculus pumilio R.Br. ex DC.,Ranunculus pumilio,native,R.Br. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus pumilio var. politus Melville,Ranunculus pumilio var. politus,native,Ranunculus pumilio var. politus Melville,Ranunculus pumilio var. politus,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus pumilio var. pumilio NA,Ranunculus pumilio var. pumilio,native,Ranunculus pumilio R.Br. ex DC. var. pumilio,Ranunculus pumilio var. pumilio,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus repens L.,Ranunculus repens,naturalised,Ranunculus repens L.,Ranunculus repens,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus robertsonii Benth.,Ranunculus robertsonii,native,Ranunculus robertsonii Benth.,Ranunculus robertsonii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus sardous Crantz,Ranunculus sardous,naturalised,Ranunculus sardous Crantz,Ranunculus sardous,naturalised,Crantz,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus scapiger Hook.,Ranunculus scapiger,native,Ranunculus scapiger Hook.,Ranunculus scapiger,native,Hook.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus sceleratus L.,Ranunculus sceleratus,introduced,Ranunculus sceleratus L.,Ranunculus sceleratus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,NA
Ranunculus sceleratus subsp. sceleratus NA,Ranunculus sceleratus subsp. sceleratus,naturalised,Ranunculus sceleratus L. subsp. sceleratus,Ranunculus sceleratus subsp. sceleratus,naturalised,NA,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus sessiliflorus R.Br. ex DC.,Ranunculus sessiliflorus,native,Ranunculus sessiliflorus R.Br. ex DC.,Ranunculus sessiliflorus,native,R.Br. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus sessiliflorus var. pilulifer (Hook.) Melville,Ranunculus sessiliflorus var. pilulifer,native,Ranunculus sessiliflorus var. pilulifer (Hook.) Melville,Ranunculus sessiliflorus var. pilulifer,native,(Hook.) Melville,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus sessiliflorus var. sessiliflorus NA,Ranunculus sessiliflorus var. sessiliflorus,native,Ranunculus sessiliflorus R.Br. ex DC. var. sessiliflorus,Ranunculus sessiliflorus var. sessiliflorus,native,NA,accepted,Similar for the state flora and the APC,native,native,native
