State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Polygala parviloba R.A.Kerrigan,Polygala parviloba,native,Polygala parviloba R.A.Kerrigan,Polygala parviloba,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala petrophila R.A.Kerrigan,Polygala petrophila,native,Polygala petrophila R.A.Kerrigan,Polygala petrophila,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala petrophila var. petrophila R.A.Kerrigan,Polygala petrophila var. petrophila,native,Polygala petrophila R.A.Kerrigan var. petrophila,Polygala petrophila var. petrophila,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Polygala praecox R.A.Kerrigan,Polygala praecox,native,Polygala praecox R.A.Kerrigan,Polygala praecox,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala pterocarpa R.A.Kerrigan,Polygala pterocarpa,native,Polygala pterocarpa R.A.Kerrigan,Polygala pterocarpa,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala rhynchocarpa R.A.Kerrigan,Polygala rhynchocarpa,native,Polygala rhynchocarpa R.A.Kerrigan,Polygala rhynchocarpa,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala saccopetala R.A.Kerrigan,Polygala saccopetala,native,Polygala saccopetala R.A.Kerrigan,Polygala saccopetala,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala stenosepala (Benth.) R.A.Kerrigan,Polygala stenosepala,native,Polygala stenosepala (Benth.) R.A.Kerrigan,Polygala stenosepala,native,(Benth.) R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala succulenta R.A.Kerrigan,Polygala succulenta,native,Polygala succulenta R.A.Kerrigan,Polygala succulenta,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala succulenta var. congesta R.A.Kerrigan,Polygala succulenta var. congesta,native,Polygala succulenta var. congesta R.A.Kerrigan,Polygala succulenta var. congesta,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala tepperi F.Muell.,Polygala tepperi,native,Polygala tepperi F.Muell.,Polygala tepperi,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Polygala virgata Thunb.,Polygala virgata,naturalised,Polygala virgata Thunb.,Polygala virgata,naturalised,Thunb.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Polygala wightiana Wight & Arn.,Polygala wightiana,native,Polygala wightiana Wight & Arn.,Polygala wightiana,native,Wight & Arn.,accepted,Similar for the state flora and the APC,native,native,native
Polygonum arenastrum Boreau,Polygonum arenastrum,naturalised,Polygonum arenastrum Jord. ex Boreau,Polygonum arenastrum,naturalised,Jord. ex Boreau,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Polygonum aviculare L.,Polygonum aviculare,naturalised,Polygonum aviculare L.,Polygonum aviculare,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Polygonum bellardii All.,Polygonum bellardii,naturalised,Polygonum bellardii All.,Polygonum bellardii,naturalised,All.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Polygonum plebeium R.Br.,Polygonum plebeium,native,Polygonum plebeium R.Br.,Polygonum plebeium,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria ambigua R.Br.,Polymeria ambigua,native,Polymeria ambigua R.Br.,Polymeria ambigua,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria angusta F.Muell.,Polymeria angusta,native,Polymeria angusta F.Muell.,Polymeria angusta,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria calycina R.Br.,Polymeria calycina,native,Polymeria calycina R.Br.,Polymeria calycina,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria distigma Benth.,Polymeria distigma,native,Polymeria distigma Benth.,Polymeria distigma,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria lanata R.Br.,Polymeria lanata,native,Polymeria lanata R.Br.,Polymeria lanata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria longifolia Lindl.,Polymeria longifolia,native,Polymeria longifolia Lindl.,Polymeria longifolia,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria mollis (Benth.) Domin,Polymeria mollis,native,Polymeria mollis (Benth.) Domin,Polymeria mollis,native,(Benth.) Domin,accepted,Similar for the state flora and the APC,native,native,native
Polymeria quadrivalvis R.Br.,Polymeria quadrivalvis,native,Polymeria quadrivalvis R.Br.,Polymeria quadrivalvis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Polymeria sp. Broome (K.F. Kenneally 9759) NA,Polymeria sp. Broome (K.F. Kenneally 9759),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Polypogon maritimus var. subspatheaceus (Req.) Parl.,Polypogon maritimus var. subspatheaceus,naturalised,Polypogon maritimus var. subspatheaceus (Req.) Duby,Polypogon maritimus var. subspatheaceus,NA,(Req.) Duby,accepted,Not recorded on the APC as present in this state,naturalised,introduced,established
Polypogon maritimus Willd.,Polypogon maritimus,naturalised,Polypogon maritimus Willd.,Polypogon maritimus,naturalised,Willd.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Polypogon monspeliensis (L.) Desf.,Polypogon monspeliensis,naturalised,Polypogon monspeliensis (L.) Desf.,Polypogon monspeliensis,naturalised,(L.) Desf.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Polypogon tenellus R.Br.,Polypogon tenellus,native,Polypogon tenellus R.Br.,Polypogon tenellus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Polytoca cyathopoda (F.Muell.) F.M.Bailey,Polytoca cyathopoda,native,Chionachne cyathopoda (F.Muell.) F.Muell. ex Benth.,Chionachne cyathopoda,native,(F.Muell.) F.Muell. ex Benth.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Polytoca hubbardiana (Henrard) Mabb.,Polytoca hubbardiana,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Pomaderris brevifolia N.G.Walsh,Pomaderris brevifolia,native,Pomaderris brevifolia N.G.Walsh,Pomaderris brevifolia,native,N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris forrestiana F.Muell.,Pomaderris forrestiana,native,Pomaderris forrestiana F.Muell.,Pomaderris forrestiana,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris grandis F.Muell.,Pomaderris grandis,native,Pomaderris grandis F.Muell.,Pomaderris grandis,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris myrtilloides Fenzl,Pomaderris myrtilloides,native,Pomaderris myrtilloides Fenzl,Pomaderris myrtilloides,native,Fenzl,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris paniculosa Reissek,Pomaderris paniculosa,native,Pomaderris paniculosa F.Muell. ex Reissek,Pomaderris paniculosa,native,F.Muell. ex Reissek,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris paniculosa subsp. paniculosa Reissek,Pomaderris paniculosa subsp. paniculosa,native,Pomaderris paniculosa F.Muell. ex Reissek subsp. paniculosa,Pomaderris paniculosa subsp. paniculosa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris paniculosa subsp. paralia N.G.Walsh,Pomaderris paniculosa subsp. paralia,native,Pomaderris paniculosa subsp. paralia N.G.Walsh,Pomaderris paniculosa subsp. paralia,native,N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Pomaderris rotundifolia (F.Muell.) Rye,Pomaderris rotundifolia,native,Pomaderris rotundifolia (F.Muell.) Rye,Pomaderris rotundifolia,native,(F.Muell.) Rye,accepted,Similar for the state flora and the APC,native,native,native
Pomax rupestris F.Muell.,Pomax rupestris,native,Pomax rupestris F.Muell.,Pomax rupestris,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Pomax sp. Sand dunes (P.G. Wilson 752) NA,Pomax sp. Sand dunes (P.G. Wilson 752),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Pontederia crassipes Mart.,Pontederia crassipes,naturalised,Pontederia crassipes Mart.,Pontederia crassipes,naturalised,Mart.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Pontederia cyanea (F.Muell.) M.Pell. & C.N.Horn,Pontederia cyanea,native,Pontederia cyanea (F.Muell.) M.Pell. & C.N.Horn,Pontederia cyanea,native,(F.Muell.) M.Pell. & C.N.Horn,accepted,Similar for the state flora and the APC,native,native,native
Pontederia vaginalis Burm.f.,Pontederia vaginalis,native,Pontederia vaginalis Burm.f.,Pontederia vaginalis,native,Burm.f.,accepted,Similar for the state flora and the APC,native,native,native
Populus alba L.,Populus alba,naturalised,Populus alba L.,Populus alba,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Populus nigra cv. italica L.,Populus nigra cv. italica,naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,naturalised,introduced,established
Populus nigra L.,Populus nigra,naturalised,Populus nigra L.,Populus nigra,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Poranthera asybosca R.L.Barrett,Poranthera asybosca,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Poranthera coerulea O.Schwarz,Poranthera coerulea,native,Poranthera coerulea O.Schwarz,Poranthera coerulea,native,O.Schwarz,accepted,Similar for the state flora and the APC,native,native,native
Poranthera dissecta Halford & R.J.F.Hend.,Poranthera dissecta,native,Poranthera dissecta Halford & R.J.F.Hend.,Poranthera dissecta,native,Halford & R.J.F.Hend.,accepted,Similar for the state flora and the APC,native,native,native
Poranthera drummondii Klotzsch,Poranthera drummondii,native,Poranthera drummondii Klotzsch,Poranthera drummondii,native,Klotzsch,accepted,Similar for the state flora and the APC,native,native,native
Poranthera ericoides Klotzsch,Poranthera ericoides,native,Poranthera ericoides Klotzsch,Poranthera ericoides,native,Klotzsch,accepted,Similar for the state flora and the APC,native,native,native
Poranthera florosa Halford & R.J.F.Hend.,Poranthera florosa,native,Poranthera florosa Halford & R.J.F.Hend.,Poranthera florosa,native,Halford & R.J.F.Hend.,accepted,Similar for the state flora and the APC,native,native,native
Poranthera huegelii Klotzsch,Poranthera huegelii,native,Poranthera huegelii Klotzsch,Poranthera huegelii,native,Klotzsch,accepted,Similar for the state flora and the APC,native,native,native
Poranthera leiosperma Halford & R.J.F.Hend.,Poranthera leiosperma,native,Poranthera leiosperma Halford & R.J.F.Hend.,Poranthera leiosperma,native,Halford & R.J.F.Hend.,accepted,Similar for the state flora and the APC,native,native,native
Poranthera microphylla Brongn.,Poranthera microphylla,native,Poranthera microphylla Brongn.,Poranthera microphylla,native,Brongn.,accepted,Similar for the state flora and the APC,native,native,native
Poranthera moorokatta R.L.Barrett,Poranthera moorokatta,native,Poranthera moorokatta R.L.Barrett,Poranthera moorokatta,native,R.L.Barrett,accepted,Similar for the state flora and the APC,native,native,native
Poranthera triandra J.M.Black,Poranthera triandra,native,Poranthera triandra J.M.Black,Poranthera triandra,native,J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Portulaca australis Endl.,Portulaca australis,native,Portulaca australis Endl.,Portulaca australis,native,Endl.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca bicolor F.Muell.,Portulaca bicolor,native,Portulaca bicolor F.Muell.,Portulaca bicolor,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca clavigera R.Geesink,Portulaca clavigera,native,Portulaca clavigera Geesink,Portulaca clavigera,native,Geesink,accepted,Similar for the state flora and the APC,native,native,native
Portulaca conspicua Domin,Portulaca conspicua,native,Portulaca conspicua Domin,Portulaca conspicua,native,Domin,accepted,Similar for the state flora and the APC,native,native,native
Portulaca cyclophylla F.Muell.,Portulaca cyclophylla,native,Portulaca cyclophylla F.Muell.,Portulaca cyclophylla,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca decipiens Poelln.,Portulaca decipiens,native,Portulaca decipiens Poelln.,Portulaca decipiens,native,Poelln.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca digyna F.Muell.,Portulaca digyna,native,Portulaca digyna F.Muell.,Portulaca digyna,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca filifolia F.Muell.,Portulaca filifolia,native,Portulaca filifolia F.Muell.,Portulaca filifolia,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca intraterranea J.M.Black,Portulaca intraterranea,native,Portulaca intraterranea J.M.Black,Portulaca intraterranea,native,J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Portulaca napiformis Benth.,Portulaca napiformis,native,Portulaca napiformis F.Muell. ex Benth.,Portulaca napiformis,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Portulaca oleracea L.,Portulaca oleracea,native colonising,Portulaca oleracea L.,Portulaca oleracea,native colonising,L.,accepted,Similar for the state flora and the APC,native colonising,native,native
Portulaca oligosperma F.Muell.,Portulaca oligosperma,native,Portulaca oligosperma F.Muell.,Portulaca oligosperma,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
