State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Dopatrium junceum (Roxb.) Buch.-Ham. ex Benth. ,Dopatrium junceum,native,Dopatrium junceum (Roxb.) Buch.-Ham. ex Benth.,Dopatrium junceum,native,(Roxb.) Buch.-Ham. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Doryopteris concolor (Langsd. & Fisch.) Kuhn,Doryopteris concolor,native,Doryopteris concolor (Langsd. & Fisch.) Kuhn,Doryopteris concolor,native,(Langsd. & Fisch.) Kuhn,accepted,Similar for the state flora and the APC,native,native,native
Dracaena angustifolia (Medik.) Roxb.,Dracaena angustifolia,native,Dracaena angustifolia (Medik.) Roxb.,Dracaena angustifolia,native,(Medik.) Roxb.,accepted,Similar for the state flora and the APC,native,native,native
Dracaena surculosa Lindl.,Dracaena surculosa,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Drosera aquatica Lowrie,Drosera aquatica,native,Drosera aquatica Lowrie,Drosera aquatica,NA,Lowrie,accepted,Not recorded on the APC as present in this state,native,native,native
Drosera banksii R.Br. ex DC.,Drosera banksii,native,Drosera banksii R.Br. ex DC.,Drosera banksii,native,R.Br. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Drosera brevicornis Lowrie,Drosera brevicornis,native,Drosera brevicornis Lowrie,Drosera brevicornis,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera burmanni Vahl,Drosera burmanni,native,Drosera burmanni Vahl,Drosera burmanni,native,Vahl,accepted,Similar for the state flora and the APC,native,native,native
Drosera cucullata Lowrie,Drosera cucullata,native,Drosera cucullata Lowrie,Drosera cucullata,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera darwinensis Lowrie,Drosera darwinensis,native,Drosera darwinensis Lowrie,Drosera darwinensis,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera derbyensis Lowrie,Drosera derbyensis,native,Drosera derbyensis Lowrie,Drosera derbyensis,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera dilatato-petiolaris Kondo,Drosera dilatato-petiolaris,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Drosera falconeri Kondo & Tsiang,Drosera falconeri,native,Drosera falconeri K.Kondo & Tsang,Drosera falconeri,native,K.Kondo & Tsang,accepted,Similar for the state flora and the APC,native,native,native
Drosera finlaysoniana Wall. ex Arn.,Drosera finlaysoniana,native,Drosera finlaysoniana Wall. ex Arn.,Drosera finlaysoniana,NA,Wall. ex Arn.,accepted,Not recorded on the APC as present in this state,native,native,native
Drosera fragrans Lowrie,Drosera fragrans,native,Drosera fragrans Lowrie,Drosera fragrans,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera fulva Planch.,Drosera fulva,native,Drosera fulva Planch.,Drosera fulva,native,Planch.,accepted,Similar for the state flora and the APC,native,native,native
Drosera hartmeyerorum Schlauer,Drosera hartmeyerorum,native,Drosera hartmeyerorum Schlauer,Drosera hartmeyerorum,NA,Schlauer,accepted,Not recorded on the APC as present in this state,native,native,native
Drosera kenneallyi Lowrie,Drosera kenneallyi,native,Drosera kenneallyi Lowrie,Drosera kenneallyi,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera lanata Kondo,Drosera lanata,native,Drosera lanata K.Kondo,Drosera lanata,native,K.Kondo,accepted,Similar for the state flora and the APC,native,native,native
Drosera lunata Buch.-Ham. ex DC.,Drosera lunata,native,Drosera lunata Buch.-Ham. ex DC.,Drosera lunata,native,Buch.-Ham. ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Drosera nana Lowrie,Drosera nana,native,Drosera nana Lowrie,Drosera nana,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera ordensis Lowrie,Drosera ordensis,native,Drosera ordensis Lowrie,Drosera ordensis,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera paradoxa Lowrie,Drosera paradoxa,native,Drosera paradoxa Lowrie,Drosera paradoxa,native,Lowrie,accepted,Similar for the state flora and the APC,native,native,native
Drosera petiolaris R.Br. ex DC.,Drosera petiolaris,native,Drosera petiolaris DC.,Drosera petiolaris,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Drosera serpens Planch.,Drosera serpens,native,Drosera serpens Planch.,Drosera serpens,native,Planch.,accepted,Similar for the state flora and the APC,native,native,native
Drosera subtilis N.G.Marchant,Drosera subtilis,native,Drosera subtilis N.G.Marchant,Drosera subtilis,native,N.G.Marchant,accepted,Similar for the state flora and the APC,native,native,native
Drummondita borealis Duretto,Drummondita borealis,native,Drummondita borealis Duretto,Drummondita borealis,native,Duretto,accepted,Similar for the state flora and the APC,native,native,native
Drynaria quercifolia (L.) J.J.Sm.,Drynaria quercifolia,native,Drynaria quercifolia (L.) J.Sm.,Drynaria quercifolia,native,(L.) J.Sm.,accepted,Similar for the state flora and the APC,native,native,native
Drypetes deplanchei (Brongn. & Griseb.) Merr.,Drypetes deplanchei,native,Drypetes deplanchei (Brongn. & Gris) Merr.,Drypetes deplanchei,native,(Brongn. & Gris) Merr.,accepted,Similar for the state flora and the APC,native,native,native
"Duboisia arenitensis Craven, Lepschi & Haegi",Duboisia arenitensis,native,"Duboisia arenitensis Craven, Lepschi & Haegi",Duboisia arenitensis,native,"Craven, Lepschi & Haegi",accepted,Similar for the state flora and the APC,native,native,native
