State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Lomandra longifolia,native,Lomandra longifolia Labill.,Lomandra longifolia,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Lomandra multiflora subsp. multiflora,native,Lomandra multiflora (R.Br.) Britten subsp. multiflora,Lomandra multiflora subsp. multiflora,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Lomatia myricoides,native,Lomatia myricoides (C.F.Gaertn.) Domin,Lomatia myricoides,native,(C.F.Gaertn.) Domin,accepted,Similar for the state flora and the APC,native,native,native
Lonicera fragrantissima,doubtfully naturalised,Lonicera fragrantissima Lindl. & Paxton,Lonicera fragrantissima,NA,Lindl. & Paxton,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Lonicera japonica,introduced,Lonicera japonica Thunb.,Lonicera japonica,naturalised,Thunb.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lotus australis var. australis,native,Lotus australis Andrews,Lotus australis,native,Andrews,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Lotus corniculatus var. corniculatus,introduced,Lotus corniculatus L. var. corniculatus,Lotus corniculatus var. corniculatus,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lotus subbiflorus,doubtfully naturalised,Lotus subbiflorus Lag.,Lotus subbiflorus,doubtfully naturalised,Lag.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Lotus uliginosus,introduced,Lotus uliginosus Schkuhr,Lotus uliginosus,doubtfully naturalised,Schkuhr,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Ludwigia palustris,introduced,Ludwigia palustris (L.) Elliott,Ludwigia palustris,naturalised,(L.) Elliott,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ludwigia peploides subsp. montevidensis,native,Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven,Ludwigia peploides subsp. montevidensis,native,(Spreng.) P.H.Raven,accepted,Similar for the state flora and the APC,native,native,native
Luzula alpestris,native,Luzula alpestris H.Nordensk.,Luzula alpestris,native,H.Nordensk.,accepted,Similar for the state flora and the APC,native,native,native
Luzula densiflora,native,Luzula densiflora (H.Nordensk.) Edgar,Luzula densiflora,native,(H.Nordensk.) Edgar,accepted,Similar for the state flora and the APC,native,native,native
Luzula flaccida,native,Luzula flaccida (Buchenau) Edgar,Luzula flaccida,native,(Buchenau) Edgar,accepted,Similar for the state flora and the APC,native,native,native
Luzula meridionalis,native,Luzula meridionalis H.Nordensk.,Luzula meridionalis,native,H.Nordensk.,accepted,Similar for the state flora and the APC,native,native,native
Luzula modesta,native,Luzula modesta Buchenau,Luzula modesta,native,Buchenau,accepted,Similar for the state flora and the APC,native,native,native
Luzula modesta x Luzula novae-cambriae,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
