State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Acacia doratoxylon A.Cunn.,Acacia doratoxylon,native,Acacia doratoxylon A.Cunn.,Acacia doratoxylon,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia dorothea Maiden,Acacia dorothea,native,Acacia dorothea Maiden,Acacia dorothea,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia echinula DC.,Acacia echinula,native,Acacia echinula DC.,Acacia echinula,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia elata A.Cunn. ex Benth.,Acacia elata,native,Acacia elata A.Cunn. ex Benth.,Acacia elata,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia elongata Sieber ex DC.,Acacia elongata,native,Acacia elongata Sieber ex DC.,Acacia elongata,native,Sieber ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia excelsa Benth. subsp. excelsa,Acacia excelsa subsp. excelsa,native,Acacia excelsa Benth. subsp. excelsa,Acacia excelsa subsp. excelsa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia excelsa subsp. angusta Pedley,Acacia excelsa subsp. angusta,native,Acacia excelsa subsp. angusta Pedley,Acacia excelsa subsp. angusta,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia falcata Willd.,Acacia falcata,native,Acacia falcata Willd.,Acacia falcata,native,Willd.,accepted,Similar for the state flora and the APC,native,native,native
Acacia falciformis DC.,Acacia falciformis,native,Acacia falciformis DC.,Acacia falciformis,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia filicifolia Cheel & M.B.Welch,Acacia filicifolia,native,Acacia filicifolia Cheel & M.B.Welch,Acacia filicifolia,native,Cheel & M.B.Welch,accepted,Similar for the state flora and the APC,native,native,native
Acacia fimbriata A.Cunn. ex G.Don,Acacia fimbriata,native,Acacia fimbriata A.Cunn. ex G.Don,Acacia fimbriata,native,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,native,native,native
Acacia flexifolia A.Cunn. ex Benth.,Acacia flexifolia,native,Acacia flexifolia A.Cunn. ex Benth.,Acacia flexifolia,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia flocktoniae Maiden,Acacia flocktoniae,native,Acacia flocktoniae Maiden,Acacia flocktoniae,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia floribunda (Vent.) Willd.,Acacia floribunda,native,Acacia floribunda (Vent.) Willd.,Acacia floribunda,native,(Vent.) Willd.,accepted,Similar for the state flora and the APC,native,native,native
Acacia floydii Tindale,Acacia floydii,native,Acacia floydii Tindale,Acacia floydii,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia forsythii Maiden & Blakely,Acacia forsythii,native,Acacia forsythii Maiden & Blakely,Acacia forsythii,native,Maiden & Blakely,accepted,Similar for the state flora and the APC,native,native,native
Acacia fulva Tindale,Acacia fulva,native,Acacia fulva Tindale,Acacia fulva,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia genistifolia Link,Acacia genistifolia,native,Acacia genistifolia Link,Acacia genistifolia,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Acacia georgensis Tindale,Acacia georgensis,native,Acacia georgensis Tindale,Acacia georgensis,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia gladiiformis A.Cunn. ex Benth.,Acacia gladiiformis,native,Acacia gladiiformis A.Cunn. ex Benth.,Acacia gladiiformis,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia gordonii (Tindale) Pedley,Acacia gordonii,native,Acacia gordonii (Tindale) Pedley,Acacia gordonii,native,(Tindale) Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia granitica Maiden,Acacia granitica,native,Acacia granitica Maiden,Acacia granitica,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia gunnii Benth.,Acacia gunnii,native,Acacia gunnii Benth.,Acacia gunnii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia hakeoides A.Cunn. ex Benth.,Acacia hakeoides,native,Acacia hakeoides A.Cunn. ex Benth.,Acacia hakeoides,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia halliana Maslin,Acacia halliana,native,Acacia halliana Maslin,Acacia halliana,native,Maslin,accepted,Similar for the state flora and the APC,native,native,native
Acacia hamiltoniana Maiden,Acacia hamiltoniana,native,Acacia hamiltoniana Maiden,Acacia hamiltoniana,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia harpophylla F.Muell. ex Benth.,Acacia harpophylla,native,Acacia harpophylla F.Muell. ex Benth.,Acacia harpophylla,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia havilandiorum Maiden,Acacia havilandiorum,native,Acacia havilandiorum Maiden,Acacia havilandiorum,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia hispidula (Sm.) Willd.,Acacia hispidula,native,Acacia hispidula (Sm.) Willd.,Acacia hispidula,native,(Sm.) Willd.,accepted,Similar for the state flora and the APC,native,native,native
Acacia homalophylla A.Cunn. ex Benth.,Acacia homalophylla,native,Acacia homalophylla A.Cunn. ex Benth.,Acacia homalophylla,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia implexa Benth.,Acacia implexa,native,Acacia implexa Benth.,Acacia implexa,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia ingramii Tindale,Acacia ingramii,native,Acacia ingramii Tindale,Acacia ingramii,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia irrorata Sieber ex Spreng.,Acacia irrorata,native,Acacia irrorata Sieber ex Spreng.,Acacia irrorata,native,Sieber ex Spreng.,accepted,Similar for the state flora and the APC,native,native,native
Acacia irrorata Sieber ex Spreng. subsp. irrorata,Acacia irrorata subsp. irrorata,native,Acacia irrorata Sieber ex Spreng. subsp. irrorata,Acacia irrorata subsp. irrorata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia irrorata subsp. velutinella Tindale,Acacia irrorata subsp. velutinella,native,Acacia irrorata subsp. velutinella Tindale,Acacia irrorata subsp. velutinella,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia iteaphylla F.Muell. ex Benth.,Acacia iteaphylla,introduced,Acacia iteaphylla F.Muell. ex Benth.,Acacia iteaphylla,naturalised,F.Muell. ex Benth.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia ixiophylla Benth.,Acacia ixiophylla,native,Acacia ixiophylla Benth.,Acacia ixiophylla,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia ixodes Pedley,Acacia ixodes,native,Acacia ixodes Pedley,Acacia ixodes,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Acacia jennerae Maiden,Acacia jennerae,native,Acacia jennerae Maiden,Acacia jennerae,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia johnsonii Pedley,Acacia johnsonii,native,Acacia johnsonii Pedley,Acacia johnsonii,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
