State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Diuris orientis D.L.Jones,Diuris orientis,native,Diuris orientis D.L.Jones,Diuris orientis,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Diuris palustris Lindl.,Diuris palustris,native,Diuris palustris Lindl.,Diuris palustris,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Diuris pardina Lindl.,Diuris pardina,native,Diuris pardina Lindl.,Diuris pardina,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Diuris sulphurea R.Br.,Diuris sulphurea,native,Diuris sulphurea R.Br.,Diuris sulphurea,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Dockrillia striolata (Rchb.f.) Rauschert,Dockrillia striolata,native,Dockrillia striolata (Rchb.f.) Rauschert,Dockrillia striolata,native,(Rchb.f.) Rauschert,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea filiformis Link,Dodonaea filiformis,native,Dodonaea filiformis Link,Dodonaea filiformis,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea viscosa Jacq. subsp. spatulata (Sm.) J.G.West,Dodonaea viscosa subsp. spatulata,native,Dodonaea viscosa subsp. spatulata (Sm.) J.G.West,Dodonaea viscosa subsp. spatulata,native,(Sm.) J.G.West,accepted,Similar for the state flora and the APC,native,native,native
Donatia novae-zelandiae Hook.f.,Donatia novae-zelandiae,native,Donatia novae-zelandiae Hook.f.,Donatia novae-zelandiae,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Draba muralis L.,Draba muralis,introduced,Draba nemorosa L.,Draba nemorosa,naturalised,L.,taxonomic synonym,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
draba nemorosa L.,draba nemorosa,native,Draba nemorosa L.,Draba nemorosa,naturalised,L.,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Draba nemorosa L.,Draba nemorosa,introduced,Draba nemorosa L.,Draba nemorosa,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Dracophyllum milliganii Hook.f.,Dracophyllum milliganii,native,Dracophyllum milliganii Hook.,Dracophyllum milliganii,native,Hook.,accepted,Similar for the state flora and the APC,native,native,native
Dracophyllum minimum F.Muell.,Dracophyllum minimum,native,Dracophyllum minimum F.Muell.,Dracophyllum minimum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Drosanthemum candens (Haw.) Schwantes,Drosanthemum candens,introduced,Drosanthemum candens (Haw.) Schwantes,Drosanthemum candens,NA,(Haw.) Schwantes,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Drosera arcturi Hook.,Drosera arcturi,native,Drosera arcturi Hook.,Drosera arcturi,native,Hook.,accepted,Similar for the state flora and the APC,native,native,native
Drosera auriculata Backh. ex Planch.,Drosera auriculata,native,Drosera auriculata Backh. ex Planch.,Drosera auriculata,native,Backh. ex Planch.,accepted,Similar for the state flora and the APC,native,native,native
Drosera binata Labill.,Drosera binata,native,Drosera binata Labill.,Drosera binata,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Drosera glanduligera Lehm.,Drosera glanduligera,native,Drosera glanduligera Lehm.,Drosera glanduligera,native,Lehm.,accepted,Similar for the state flora and the APC,native,native,native
Drosera gunniana (Planch.) de Salas,Drosera gunniana,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Drosera hookeri R.P.Gibson,Drosera hookeri,native,"Drosera hookeri R.P.Gibson, B.J.Conn & Conran",Drosera hookeri,native,"R.P.Gibson, B.J.Conn & Conran",accepted,Similar for the state flora and the APC,native,native,native
Drosera macrantha Endl. subsp. planchonii (Hook.f. ex Planch.) N.G.Marchant,Drosera macrantha subsp. planchonii,native,Drosera macrantha subsp. planchonii (Hook.f. ex Planch.) N.G.Marchant,Drosera macrantha subsp. planchonii,NA,(Hook.f. ex Planch.) N.G.Marchant,accepted,Not recorded on the APC as present in this state,native,native,native
Drosera murfetii Lowrie & Conran,Drosera murfetii,native,Drosera murfetii Lowrie & Conran,Drosera murfetii,native,Lowrie & Conran,accepted,Similar for the state flora and the APC,native,native,native
Drosera peltata Thunb.,Drosera peltata,native,Drosera peltata Thunb.,Drosera peltata,native,Thunb.,accepted,Similar for the state flora and the APC,native,native,native
Drosera pygmaea DC.,Drosera pygmaea,native,Drosera pygmaea DC.,Drosera pygmaea,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Drosera spatulata Labill. var. spatulata,Drosera spatulata var. spatulata,native,Drosera spatulata Labill. var. spatulata,Drosera spatulata var. spatulata,NA,NA,accepted,Not recorded on the APC as present in this state,native,native,native
Drymophila cyanocarpa R.Br.,Drymophila cyanocarpa,native,Drymophila cyanocarpa R.Br.,Drymophila cyanocarpa,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Dryopoa dives (F.Muell.) Vickery,Dryopoa dives,native,Dryopoa dives (F.Muell.) Vickery,Dryopoa dives,native,(F.Muell.) Vickery,accepted,Similar for the state flora and the APC,native,native,native
Dysphania glomulifera (Nees) Paul G.Wilson subsp. glomulifera,Dysphania glomulifera subsp. glomulifera,introduced,Dysphania glomulifera (Nees) Paul G.Wilson subsp. glomulifera,Dysphania glomulifera subsp. glomulifera,NA,NA,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Dysphania pumilio (R.Br.) Mosyakin & Clemants,Dysphania pumilio,native,Dysphania pumilio (R.Br.) Mosyakin & Clemants,Dysphania pumilio,naturalised,(R.Br.) Mosyakin & Clemants,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Ecballium elaterium (L.) A.Rich.,Ecballium elaterium,introduced,Ecballium elaterium (L.) A.Rich.,Ecballium elaterium,doubtfully naturalised,(L.) A.Rich.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli,introduced,Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli,naturalised,(L.) P.Beauv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Echinochloa esculenta (A.Braun) H.Scholz,Echinochloa esculenta,introduced,Echinochloa esculenta (A.Braun) H.Scholz,Echinochloa esculenta,naturalised,(A.Braun) H.Scholz,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Echinochloa frumentacea Link,Echinochloa frumentacea,native,Echinochloa frumentacea Link,Echinochloa frumentacea,naturalised,Link,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Echinochloa oryzoides (Ard.) Fritsch,Echinochloa oryzoides,introduced,Echinochloa oryzoides (Ard.) Fritsch,Echinochloa oryzoides,doubtfully naturalised,(Ard.) Fritsch,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Echinopogon ovatus (G.Forst.) P.Beauv.,Echinopogon ovatus,native,Echinopogon ovatus (G.Forst.) P.Beauv.,Echinopogon ovatus,native,(G.Forst.) P.Beauv.,accepted,Similar for the state flora and the APC,native,native,native
Echium candicans L.f.,Echium candicans,introduced,Echium candicans L.f.,Echium candicans,NA,L.f.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Echium plantagineum L.,Echium plantagineum,native,Echium plantagineum L.,Echium plantagineum,naturalised,L.,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Echium vulgare L.,Echium vulgare,introduced,Echium vulgare L.,Echium vulgare,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Egeria densa Planch.,Egeria densa,introduced,Egeria densa Planch.,Egeria densa,naturalised,Planch.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ehrharta calycina Sm.,Ehrharta calycina,introduced,Ehrharta calycina Sm.,Ehrharta calycina,naturalised,Sm.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ehrharta erecta Lam. var. erecta,Ehrharta erecta var. erecta,introduced,Ehrharta erecta Lam. var. erecta,Ehrharta erecta var. erecta,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ehrharta longiflora Sm.,Ehrharta longiflora,introduced,Ehrharta longiflora Sm.,Ehrharta longiflora,naturalised,Sm.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ehrharta stipoides Labill.,Ehrharta stipoides,native,Microlaena stipoides (Labill.) R.Br.,Microlaena stipoides,native,(Labill.) R.Br.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Ehrharta villosa Schult.f.,Ehrharta villosa,introduced,Ehrharta villosa Schult.f.,Ehrharta villosa,naturalised,Schult.f.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Einadia nutans (R.Br.) A.J.Scott subsp. nutans,Einadia nutans subsp. nutans,native,Einadia nutans (R.Br.) A.J.Scott subsp. nutans,Einadia nutans subsp. nutans,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Elaeocarpus reticulatus Sm.,Elaeocarpus reticulatus,native,Elaeocarpus reticulatus Sm.,Elaeocarpus reticulatus,native,Sm.,accepted,Similar for the state flora and the APC,native,native,native
Elatine gratioloides A.Cunn.,Elatine gratioloides,native,Elatine gratioloides A.Cunn.,Elatine gratioloides,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Eleocharis acuta R.Br.,Eleocharis acuta,native,Eleocharis acuta R.Br.,Eleocharis acuta,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Eleocharis gracilis R.Br.,Eleocharis gracilis,native,Eleocharis gracilis R.Br.,Eleocharis gracilis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Eleocharis pusilla R.Br.,Eleocharis pusilla,native,Eleocharis pusilla R.Br.,Eleocharis pusilla,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Eleocharis sphacelata R.Br.,Eleocharis sphacelata,native,Eleocharis sphacelata R.Br.,Eleocharis sphacelata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
