State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Triglochin striata Ruiz & Pav.,Triglochin striata,native,Triglochin striata Ruiz & Pav.,Triglochin striata,native,Ruiz & Pav.,accepted,Similar for the state flora and the APC,native,native,native
Triglochin trichophora Nees ex Endl.,Triglochin trichophora,native,Triglochin trichophora Nees,Triglochin trichophora,native,Nees,accepted,Similar for the state flora and the APC,native,native,native
Triglochin turrifera Ewart,Triglochin turrifera,native,Triglochin turrifera Ewart,Triglochin turrifera,native,Ewart,accepted,Similar for the state flora and the APC,native,native,native
Trigonella monspeliaca L.,Trigonella monspeliaca,introduced,Trigonella monspeliaca L.,Trigonella monspeliaca,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trigonella suavissima Lindl.,Trigonella suavissima,native,Trigonella suavissima Lindl.,Trigonella suavissima,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Triodia basedowii E.Pritz.,Triodia basedowii,native,Triodia basedowii E.Pritz.,Triodia basedowii,native,E.Pritz.,accepted,Similar for the state flora and the APC,native,native,native
Triodia compacta (N.T.Burb.) S.W.L.Jacobs,Triodia compacta,native,Triodia compacta (N.T.Burb.) S.W.L.Jacobs,Triodia compacta,native,(N.T.Burb.) S.W.L.Jacobs,accepted,Similar for the state flora and the APC,native,native,native
Triodia helmsii (C.E.Hubb.) Lazarides,Triodia helmsii,native,Triodia helmsii (C.E.Hubb.) Lazarides,Triodia helmsii,native,(C.E.Hubb.) Lazarides,accepted,Similar for the state flora and the APC,native,native,native
Triodia irritans complex,Triodia irritans complex,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Triodia irritans R.Br.,Triodia irritans,native,Triodia irritans R.Br.,Triodia irritans,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Triodia lanata J.M.Black,Triodia lanata,native,Triodia lanata J.M.Black,Triodia lanata,native,J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Triodia lanigera Domin,Triodia lanigera,native,Triodia lanigera Domin,Triodia lanigera,NA,Domin,accepted,Not recorded on the APC as present in this state,native,native,native
Triodia longiceps J.M.Black,Triodia longiceps,native,Triodia longiceps J.M.Black,Triodia longiceps,native,J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Triodia melvillei (C.E.Hubb.) Lazarides,Triodia melvillei,native,Triodia melvillei (C.E.Hubb.) Lazarides,Triodia melvillei,native,(C.E.Hubb.) Lazarides,accepted,Similar for the state flora and the APC,native,native,native
Triodia pungens R.Br.,Triodia pungens,native,Triodia pungens R.Br.,Triodia pungens,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Triodia scariosa N.T.Burb.,Triodia scariosa,native,Triodia scariosa N.T.Burb.,Triodia scariosa,native,N.T.Burb.,accepted,Similar for the state flora and the APC,native,native,native
Triodia schinzii (Henrard) Lazarides,Triodia schinzii,native,Triodia schinzii (Henrard) Lazarides,Triodia schinzii,native,(Henrard) Lazarides,accepted,Similar for the state flora and the APC,native,native,native
Tripogonella loliiformis (F.Muell.) P.M.Peterson & Romasch.,Tripogonella loliiformis,native,Tripogonella loliiformis (F.Muell.) P.M.Peterson & Romasch.,Tripogonella loliiformis,native,(F.Muell.) P.M.Peterson & Romasch.,accepted,Similar for the state flora and the APC,native,native,native
Triptilodiscus pygmaeus Turcz.,Triptilodiscus pygmaeus,native,Triptilodiscus pygmaeus Turcz.,Triptilodiscus pygmaeus,native,Turcz.,accepted,Similar for the state flora and the APC,native,native,native
Triraphis mollis R.Br.,Triraphis mollis,native,Triraphis mollis R.Br.,Triraphis mollis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
"Trithuria australis (Diels) D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Trithuria australis,native,"Trithuria australis (Diels) D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Trithuria australis,NA,"(Diels) D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",accepted,Not recorded on the APC as present in this state,native,native,native
Trithuria submersa Hook.f.,Trithuria submersa,native,Trithuria submersa Hook.f.,Trithuria submersa,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Triticum aestivum L.,Triticum aestivum,introduced,Triticum aestivum L.,Triticum aestivum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tritonia crocata (L.) Ker Gawl.,Tritonia crocata,introduced,Tritonia crocata (L.) Ker Gawl.,Tritonia crocata,naturalised,(L.) Ker Gawl.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning,Tritonia gladiolaris,introduced,Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning,Tritonia gladiolaris,naturalised,(Lam.) Goldblatt & J.C.Manning,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tritonia squalida (Aiton) Ker Gawl.,Tritonia squalida,introduced,NA,NA,NA,NA,NA,"It corresponds to several accepted names on the APC due to have been pro parte misapplied, therefore it is impossible to assign one",introduced,introduced,not enough information to assign degree of establishment
Tropaeolum majus L.,Tropaeolum majus,introduced,Tropaeolum majus L.,Tropaeolum majus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trymalium wayi F.Muell. & Tate,Trymalium wayi,native,Trymalium wayi F.Muell. & Tate,Trymalium wayi,native,F.Muell. & Tate,accepted,Similar for the state flora and the APC,native,native,native
